Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63582397,12/31/2024 09:24:11 AM,05/29/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10032,1970 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/29/2025 12:00:00 AM,12 MANHATTAN,1021160033,MANHATTAN,1000372,242869,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.83327996642333,-73.9417403043681,"(40.83327996642333, -73.9417403043681)"
63575602,12/31/2024 08:50:13 AM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,1615 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,05 BRONX,2028780015,BRONX,1006402,247988,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84731705833017,-73.91993293617895,"(40.84731705833017, -73.91993293617895)"
63582349,12/31/2024 08:32:10 AM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10468,2290 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,07 BRONX,2031970023,BRONX,1010639,252289,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85911037097102,-73.9046016370002,"(40.85911037097102, -73.9046016370002)"
63575549,12/31/2024 08:14:06 AM,01/07/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,2240 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,01/07/2025 12:00:00 AM,05 BRONX,2031820004,BRONX,1010976,251658,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85737745245203,-73.90338587172995,"(40.85737745245203, -73.90338587172995)"
63576030,12/31/2024 08:00:55 AM,01/11/2025 07:59:09 AM,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10032,1970 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,01/11/2025 12:00:00 AM,12 MANHATTAN,1021160033,MANHATTAN,1000372,242869,PHONE,Unspecified,MANHATTAN,,,,,,,,40.83327996642333,-73.9417403043681,"(40.83327996642333, -73.9417403043681)"
63575548,12/31/2024 07:06:57 AM,04/14/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11230,1420 OCEAN PARKWAY,OCEAN PARKWAY,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,04/14/2025 12:00:00 AM,12 BROOKLYN,3065870017,BROOKLYN,992989,162921,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.613852609544786,-73.96852388811597,"(40.613852609544786, -73.96852388811597)"
63575553,12/31/2024 06:39:54 AM,01/09/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10453,20 RICHMOND PLAZA,RICHMOND PLAZA,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/09/2025 12:00:00 AM,05 BRONX,2028820229,BRONX,1005613,249591,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85171876186146,-73.9227796198516,"(40.85171876186146, -73.9227796198516)"
63575554,12/31/2024 05:15:29 AM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10455,645 PROSPECT AVENUE,PROSPECT AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,01 BRONX,2026740051,BRONX,1010938,236138,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81477968431414,-73.90358499331083,"(40.81477968431414, -73.90358499331083)"
63565147,12/30/2024 11:49:02 PM,01/07/2025 07:51:02 AM,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,11377,72-10 41 AVENUE,41 AVENUE,,,,,ADDRESS,WOODSIDE,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,01/07/2025 12:00:00 AM,04 QUEENS,4013120010,QUEENS,1013908,210718,ONLINE,Unspecified,QUEENS,,,,,,,,40.74499909172425,-73.89296757512533,"(40.74499909172425, -73.89296757512533)"
63569561,12/30/2024 11:44:41 PM,01/07/2025 07:51:02 AM,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,11377,72-10 41 AVENUE,41 AVENUE,,,,,ADDRESS,WOODSIDE,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,01/07/2025 12:00:00 AM,04 QUEENS,4013120010,QUEENS,1013908,210718,ONLINE,Unspecified,QUEENS,,,,,,,,40.74499909172425,-73.89296757512533,"(40.74499909172425, -73.89296757512533)"
